Unique ID,Product Code,Subproduct Code,Product Name,Description,materials,Size (imp),Size (met),Power,Trade Price,RRP,Category,Range,ImageName,ThumbImageURL,ViewImageURL,Hi-Res URL,Stock,StockLevel,MPN,Manufacturer,IsMan,IsWoman,IsLingerie,IsCouples,IsFetish,IsGayMale,IsGayFemale
N2435,N2435,,"Doc Johnson Enspiral Swirl Top Anal Plug","Fresh from our anal experts, Doc Johnson, this anal plug presses all the right buttons!

Made of soft, smooth vinyl rubber for an easy entry, this 6&quot; plug features a unique corkscrew design to give you waves of anal ecstasy when rotated gently as moved in and out. 

Also great for direct manipulation of the prostate (the male G-spot).

You may want to throw out all your other anal toys after you’ve tried this!
","thermo plastic rubber","6&quot; x 1.25&quot;","150mm x 30mm","None Required",5.74,12.99,Anal Dildos,Anal Toys,"n2435-swirl_top_anal_plug","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2435-swirl_top_anal_plug.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2435-swirl_top_anal_plug.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2435-swirl_top_anal_plug.jpg","In Stock",6,"0900-02-CD","Doc Johnson",0,0,0,0,-1,-1,0
N2441,N2441,,"Candy G-String","Do you remember when you were young and used to wear candy bracelets and necklaces from the sweet shop? Well these are the exact same sweets - cunningly fashioned into a cute g-string!

Offer your partner a private feast when you're alone together with this great tasting, fun and pretty g-string! Manufactured by our specialists in luxury edibles, Spencer and Fleetwood, it's also suitable for vegetarians","candy","one size","one size","None Required",2.19,7.99,Gifts,Fun and Games,"n2441-candy_g_string_new","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2441-candy_g_string_new.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2441-candy_g_string_new.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2441-candy_g_string_new.jpg","In Stock",35,"FD121","Spencer & Fleetwood Ltd",0,-1,-1,-1,0,0,-1
N2459,N2459,,"Smoothy Prober","Everyone should have one of these in their toybox!

The Smoothy Prober from Scala combines form and function - it's a beautifully designed tool of pleasure!

Manufactured to the highest quality from soft, jelly rubber, it features a bulbous head and a sumptuously ribbed end - perfect for finding that elusive g-spot or prostate!

The Smoothy Prober can be used vaginally or anally.","non-toxic vinyl rubber","8&quot; x 1&quot;","200mm x 25mm (widest)","None Required",2.64,11.99,Dildos & Dongs,Dildos,"n2459-smoothy_probe","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2459-smoothy_probe.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2459-smoothy_probe.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2459-smoothy_probe.jpg","In Stock",144,"N002P9F089P9","Seven Creations",0,-1,0,0,0,-1,-1
N2464,N2464,,"After Dinner Nipples","Who wants After Eights when they can have After Dinner Nipples! 

Just the thing to get you in the mood after a scrummy romantic dinner or a perfect conversation starter after dinner with guests... ","Chocolate","3.17oz (8 pieces)","9g (8 pieces)","None Required",2.2,7.99,Eat Me,Fun and Games,"n2464-after_dinner_nipples","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2464-after_dinner_nipples.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2464-after_dinner_nipples.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2464-after_dinner_nipples.jpg","In Stock",3,"CN03","Spencer & Fleetwood Ltd",0,0,0,-1,0,0,0
N2466,N2466,,"After Dinner Willies","Treat yourself, friend or loved one to a box of these delicious Chocolate Willies!

They will make a fun and tasty desert or a great gift idea through out the year.","Chocolate","4.23oz (10 pieces)","120g (10 pieces)","None Required",2.19,7.99,Gifts,Fun and Games,"n2466-after_dinner_willies","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2466-after_dinner_willies.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2466-after_dinner_willies.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2466-after_dinner_willies.jpg","Out of Stock",0,"CN09","Spencer & Fleetwood Ltd",0,-1,0,-1,0,-1,0
N2470,N2470,,"Peppermint Peckers","Presented in a gorgeous, stylish tin for you to keep, these cheeky peppermint peckers are just the thing for an after dinner snack, or simply keep them in your pocket to raise eyebrows at social occasions!

Extra strong and sugar free!
","various","1.59oz","45g","None Required",0.87,3.99,Gifts,Fun and Games,"n2470-succulent_peppermint_peckers","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2470-succulent_peppermint_peckers.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2470-succulent_peppermint_peckers.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2470-succulent_peppermint_peckers.jpg","Out of Stock",0,"FD179","Spencer & Fleetwood Ltd",0,-1,0,-1,0,-1,0
N2472,N2472,,"Chocolate Body Paint","Paint your lover all over with this fine luxury body paint, and then lick it tantalisingly off bit by scrumptious bit!

Foreplay has never been so much fun!

The chocolate body paint has been created by our favourite purveyors of quality comestibles, so your partner really will taste as good as they look!
","milk chocolate","5.29 oz","150g","None Required",2.1,7.99,Eat Me,Fun and Games,"n2472-chocolate_body_paint","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2472-chocolate_body_paint.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2472-chocolate_body_paint.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2472-chocolate_body_paint.jpg","In Stock",20,"CN24","Spencer & Fleetwood Ltd",0,0,0,-1,0,0,0
N2475,N2475,,"Jelly Boobs","Fine fare for grown up parties, or the perfect stocking filler or stag party gift, these tasty fruity Jelly Boobs are fun to nibble on!

Unlike some other adult themed sweets we've seen, these are made by luxury edible toymakers Spencer and Fleetwood Ltd, who produce reliably luscious sweets for any occasion. ","various","5.35oz","150g","None Required",1.69,5.99,Gifts,Fun and Games,"n2475-jelly_boobs","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2475-jelly_boobs.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2475-jelly_boobs.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2475-jelly_boobs.jpg","In Stock",1,"FD09","Spencer & Fleetwood Ltd",-1,0,0,-1,0,0,0
N2476,N2476,,"Jelly Willies","Fine fare for grown up parties, or the perfect stocking filler, these tasty fruity Jelly willies are fun to nibble on!

Unlike some other adult themed sweets we've seen, these are made by a luxury edible toymaker who produces reliably luscious goodies for any occasion. ","various","3.35oz","150g","None Required",1.69,5.99,Gifts,Fun and Games,"n2476-jelly_willies","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2476-jelly_willies.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2476-jelly_willies.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2476-jelly_willies.jpg","In Stock",27,"FD06","Spencer & Fleetwood Ltd",0,-1,0,-1,0,-1,0
N2485 NS1062,N2485,NS1062,"ID Pleasure Lubricant - 65ml / 2.2 fl.oz","Combine the effects of a little blue pill with your favourite lube for a stunning experience for both partners, no matter which position you choose! 
ID Pleasure is classic ID Glide with added zing – it contains L’Argine, which is a natural amino acid known to stimulate blood flow to a localised region. Women report a delicious tingly feeling and heightened sensation while men enjoy a firmer erection and a cooling sensation. Pure pleasure, and much easier than fumbling around with pills.
•	Designed to stimulate arousal and enhance pleasure 
•	Ultra long-lasting and silky smooth
•	Lovely tingle for women and men
•	Condom friendly
•	Safe for use with all toys, silicone or otherwise

Comes in a range of sizes, from a 2.5oz bottle which can be slipped easily into a pocket, to an 8.5oz version for the dedicated enthusiast!

Although this is long lasting, if it does begin to dry, it can be revived with a little water or saliva.

 

","various","8.5 oz- 4.4 oz- 2.2 oz","250 ml- 130 ml- 65 ml","None Required",3.78,19.99,Lubricants,Essentials,"n2485-id_pleasure_lube","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2485-id_pleasure_lube.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2485-id_pleasure_lube.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2485-id_pleasure_lube.jpg","In Stock",4,"PLS-02","ID Lubricants",-1,-1,0,-1,0,-1,-1
N2485 NS1063,N2485,NS1063,"ID Pleasure Lubricant - 130ml / 4.4 fl oz","Combine the effects of a little blue pill with your favourite lube for a stunning experience for both partners, no matter which position you choose! 
ID Pleasure is classic ID Glide with added zing – it contains L’Argine, which is a natural amino acid known to stimulate blood flow to a localised region. Women report a delicious tingly feeling and heightened sensation while men enjoy a firmer erection and a cooling sensation. Pure pleasure, and much easier than fumbling around with pills.
•	Designed to stimulate arousal and enhance pleasure 
•	Ultra long-lasting and silky smooth
•	Lovely tingle for women and men
•	Condom friendly
•	Safe for use with all toys, silicone or otherwise

Comes in a range of sizes, from a 2.5oz bottle which can be slipped easily into a pocket, to an 8.5oz version for the dedicated enthusiast!

Although this is long lasting, if it does begin to dry, it can be revived with a little water or saliva.

 

","various","8.5 oz- 4.4 oz- 2.2 oz","250 ml- 130 ml- 65 ml","None Required",5.1,19.99,Lubricants,Essentials,"n2485-id_pleasure_lube","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2485-id_pleasure_lube.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2485-id_pleasure_lube.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2485-id_pleasure_lube.jpg","In Stock",1,"PLS-04","ID Lubricants",-1,-1,0,-1,0,-1,-1
N2485 NS1064,N2485,NS1064,"ID Pleasure Lubricant - 250ml / 8.5 fl.oz","Combine the effects of a little blue pill with your favourite lube for a stunning experience for both partners, no matter which position you choose! 
ID Pleasure is classic ID Glide with added zing – it contains L’Argine, which is a natural amino acid known to stimulate blood flow to a localised region. Women report a delicious tingly feeling and heightened sensation while men enjoy a firmer erection and a cooling sensation. Pure pleasure, and much easier than fumbling around with pills.
•	Designed to stimulate arousal and enhance pleasure 
•	Ultra long-lasting and silky smooth
•	Lovely tingle for women and men
•	Condom friendly
•	Safe for use with all toys, silicone or otherwise

Comes in a range of sizes, from a 2.5oz bottle which can be slipped easily into a pocket, to an 8.5oz version for the dedicated enthusiast!

Although this is long lasting, if it does begin to dry, it can be revived with a little water or saliva.

 

","various","8.5 oz- 4.4 oz- 2.2 oz","250 ml- 130 ml- 65 ml","None Required",7.68,19.99,Lubricants,Essentials,"n2485-id_pleasure_lube","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2485-id_pleasure_lube.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2485-id_pleasure_lube.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2485-id_pleasure_lube.jpg","In Stock",2,"PLS-08","ID Lubricants",-1,-1,0,-1,0,-1,-1
N2486 NS1065,N2486,NS1065,"ID Millennium Lubricant - 65ml / 2.2 fl.oz","Get into the mood with this best-selling lube from ID – the Millennium is a concentrated silky-light silicone liquid which can lubricate efficiently with just a few drops. 

•  Guaranteed never sticky!
•  Great for massage and can be used under water
•  100% pure pharmaceutical grade silicone lubricant
•  Condom friendly
•  One of the longest lasting lubricants available.

Comes in a range of sizes, from a 2.5oz bottle which can be slipped easily into a pocket, to a larger version for the dedicated enthusiast!

Not suitable for use with some silicone toys.
","silicone","2.2 oz- 4.4 oz  8.5 oz","65 ml- 130 ml- 250 ml-","None Required",5.31,25.99,Lubricants,Essentials,"n2486-id_millennium_lube","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2486-id_millennium_lube.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2486-id_millennium_lube.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2486-id_millennium_lube.jpg","In Stock",6,"MLL-02","ID Lubricants",-1,-1,0,-1,-1,-1,-1
N2486 NS1066,N2486,NS1066,"ID Millennium Lubricant - 130ml / 4.4 fl.oz","Get into the mood with this best-selling lube from ID – the Millennium is a concentrated silky-light silicone liquid which can lubricate efficiently with just a few drops. 

•  Guaranteed never sticky!
•  Great for massage and can be used under water
•  100% pure pharmaceutical grade silicone lubricant
•  Condom friendly
•  One of the longest lasting lubricants available.

Comes in a range of sizes, from a 2.5oz bottle which can be slipped easily into a pocket, to a larger version for the dedicated enthusiast!

Not suitable for use with some silicone toys.
","silicone","2.2 oz- 4.4 oz  8.5 oz","65 ml- 130 ml- 250 ml-","None Required",8.7,25.99,Lubricants,Essentials,"n2486-id_millennium_lube","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2486-id_millennium_lube.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2486-id_millennium_lube.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2486-id_millennium_lube.jpg","In Stock",5,"MLL-04","ID Lubricants",-1,-1,0,-1,-1,-1,-1
N2486 NS1067,N2486,NS1067,"ID Millennium Lubricant - 250ml / 8.5 fl.oz","Get into the mood with this best-selling lube from ID – the Millennium is a concentrated silky-light silicone liquid which can lubricate efficiently with just a few drops. 

•  Guaranteed never sticky!
•  Great for massage and can be used under water
•  100% pure pharmaceutical grade silicone lubricant
•  Condom friendly
•  One of the longest lasting lubricants available.

Comes in a range of sizes, from a 2.5oz bottle which can be slipped easily into a pocket, to a larger version for the dedicated enthusiast!

Not suitable for use with some silicone toys.
","silicone","2.2 oz- 4.4 oz  8.5 oz","65 ml- 130 ml- 250 ml-","None Required",12.28,25.99,Lubricants,Essentials,"n2486-id_millennium_lube","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2486-id_millennium_lube.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2486-id_millennium_lube.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2486-id_millennium_lube.jpg","In Stock",4,"MLL-08","ID Lubricants",-1,-1,0,-1,-1,-1,-1
N2487 NS1068,N2487,NS1068,"ID Glide Lube - 65 g/2.2 fl oz","Glide, from lubrication specialists ID is the No.1 selling water based lube in America!

Suitable for use in vaginal or anal intercourse.

•	Rated number one in numerous lubricant reviews
•	Long lasting and non-sticky
•	Non-staining, odourless, virtually tasteless clear liquid formula
•	Water-based, condom friendly
•	Safe for use with all toys including silicone-based products 
Comes in a range of sizes, from a 2.5oz bottle which can be slipped easily into a pocket, to an 8.5oz version for the dedicated enthusiast!

Although this is long lasting, if it does begin to dry, it can be revived with a little water or saliva.
","various","8.5 oz- 4.4 oz- 2.8 oz","240 g- 155 g- 80 g","None Required",3.34,17.49,Lubricants,Essentials,"n2487-id_glide_lube","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2487-id_glide_lube.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2487-id_glide_lube.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2487-id_glide_lube.jpg","Out of Stock",0,"GLD-02","ID Lubricants",-1,-1,0,-1,-1,-1,-1
N2487 NS1069,N2487,NS1069,"ID Glide Lube - 155 g/4.4 fl.oz","Glide, from lubrication specialists ID is the No.1 selling water based lube in America!

Suitable for use in vaginal or anal intercourse.

•	Rated number one in numerous lubricant reviews
•	Long lasting and non-sticky
•	Non-staining, odourless, virtually tasteless clear liquid formula
•	Water-based, condom friendly
•	Safe for use with all toys including silicone-based products 
Comes in a range of sizes, from a 2.5oz bottle which can be slipped easily into a pocket, to an 8.5oz version for the dedicated enthusiast!

Although this is long lasting, if it does begin to dry, it can be revived with a little water or saliva.
","various","8.5 oz- 4.4 oz- 2.8 oz","240 g- 155 g- 80 g","None Required",4.57,17.49,Lubricants,Essentials,"n2487-id_glide_lube","http://www.net1on1uk.co.uk/modules/shop/images/thumbs/n2487-id_glide_lube.gif","http://www.net1on1uk.co.uk/modules/shop/images/n2487-id_glide_lube.jpg","http://www.net1on1uk.co.uk/modules/shop/images/hi_resolution/n2487-id_glide_lube.jpg","In Stock",6,"GLD-04","ID Lubricants",-1,-1,0,-1,-1,-1,-1
